Unnamed: 0,Name,Parliament
0,Willem Carel Antoon Alberda van Ekenstein,1899-1902
1,Frederik Herman Pieter van Alphen,1899-1902
2,Willem Adriaan Bergsma,1899-1902
3,Rembt Tobias Hugo Pieter Liebrecht Alexander van Boneval Faure,1899-1902
4,Jan Breebaart Kzn.,1899-1902
5,Herman Frederik Bultman,1899-1902
6,Hendrik Fennema,1899-1902
7,Isaäc Dignus Fransen van de Putte,1899-1902
8,Johan Herman Geertsema Czn.,1899-1902
9,Maurits Cornelis van Hall,1899-1902
10,Gerrit Jan van Heek,1899-1902
11,Frederik Bernard s' Jacob,1899-1902
12,Melchert de Jong,1899-1902
13,Herman Jacob Kist,1899-1902
14,Dirk Laan,1899-1902
15,Hendrik van Lier,1899-1902
16,Albertus van Naamen van Eemnes,1899-1902
17,Hermanus Adrianus Nebbens Sterling,1899-1902
18,Frederik Salomon van Nierop,1899-1902
19,Anthony Ewoud Jan Nysingh,1899-1902
20,Cornelis Pijnacker Hordijk,1899-1902
21,Eduard Nicolaas Rahusen,1899-1902
22,Joan Röell,1899-1902
23,Jan Willem Hendrik Rutgers van Rozenburg,1899-1902
24,Jan Hendrik Frans Karel van Swinderen,1899-1902
25,Sjoerd Anne Vening Meinesz,1899-1902
26,Theodorus Pieter Viruly,1899-1902
27,Benjamin Marius Vlielander Hein,1899-1902
28,Wilco Julius van Welderen Rengers,1899-1902
29,Derk Knol Welt,1899-1902
30,Jacob Willem van den Biesen,1899-1902
31,Willem Cornelis Johannes Josephus Cremers,1899-1902
32,Petrus van der Does de Willebois,1899-1902
33,Léon Armand Hyacinthe Magnée,1899-1902
34,Willem Merkelbach,1899-1902
35,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1899-1902
36,Leo van Nispen,1899-1902
37,Willem Prinzen Fzn.,1899-1902
38,Willem Hubert Pyls,1899-1902
39,Frederic Joseph Maria Anton Reekers,1899-1902
40,Hubert Gérard Louis Regout,1899-1902
41,Alphonsus Maria Sassen,1899-1902
42,Stephanus Martinus van Wijck,1899-1902
43,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1899-1902
44,Willem Gerard Brantsen van de Zijp,1899-1902
45,Karel Antonie Godin de Beaufort,1899-1902
46,Jan Elias Nicolaas Schimmelpenninck van der Oye,1899-1902
47,Titus van Asch van Wijck,1899-1902
48,Robert Melvil van Lynden,1899-1902
49,Willem Constantijn van Pallandt van Waardenburg,1899-1902
50,Alexander Johannes Dijckmeester,1899-1902
51,Johannes Tak van Poortvliet,1899-1902
52,Auke Bloembergen Ezn.,1899-1902
53,Johan George Gleichman,1899-1902
54,Isaac Antoni van Roijen,1899-1902
55,Jacob Sickenga,1899-1902
56,Willem Henricus Jacobus Theodorus van Basten Batenburg,1899-1902
57,Henricus Paulus Cornelis Bosch van Drakestein,1899-1902
58,Jean Gustave Stanislas Bevers,1899-1902
59,Franciscus Johannes Petrus Maria Coenen,1899-1902
60,Pieter Cornelis 't Hooft,1899-1902
61,Willem Hovy,1899-1902
62,Simon van Velzen,1899-1902
63,Maurits van Asch van Wijck,1899-1902
0,Willem Carel Antoon Alberda van Ekenstein,1902-1904
1,Frederik Herman Pieter van Alphen,1902-1904
2,Rembt Tobias Hugo Pieter Liebrecht Alexander van Boneval Faure,1902-1904
3,Jan Breebaart Kzn.,1902-1904
4,Herman Frederik Bultman,1902-1904
5,Alexander Johannes Dijckmeester,1902-1904
6,Hendrik Fennema,1902-1904
7,Johan George Gleichman,1902-1904
8,Gerrit Jan van Heek,1902-1904
9,Frederik Bernard s' Jacob,1902-1904
10,Melchert de Jong,1902-1904
11,Herman Jacob Kist,1902-1904
12,Dirk Laan,1902-1904
13,Wilhelmus Frederik van Leeuwen,1902-1904
14,Hendrik van Lier,1902-1904
15,Hermanus Adrianus Nebbens Sterling,1902-1904
16,Frederik Salomon van Nierop,1902-1904
17,Anthony Ewoud Jan Nysingh,1902-1904
18,Eduard Nicolaas Rahusen,1902-1904
19,Isaac Antoni van Roijen,1902-1904
20,Jan Evert Scholten,1902-1904
21,Jacob Sickenga,1902-1904
22,Johannes Tak van Poortvliet,1902-1904
23,Sjoerd Anne Vening Meinesz,1902-1904
24,Benjamin Marius Vlielander Hein,1902-1904
25,Wilco Julius van Welderen Rengers,1902-1904
26,Derk Knol Welt,1902-1904
27,Willem Henricus Jacobus Theodorus van Basten Batenburg,1902-1904
28,Jean Gustave Stanislas Bevers,1902-1904
29,Jacob Willem van den Biesen,1902-1904
30,Henricus Paulus Cornelis Bosch van Drakestein,1902-1904
31,Franciscus Johannes Petrus Maria Coenen,1902-1904
32,Willem Cornelis Johannes Josephus Cremers,1902-1904
33,Petrus van der Does de Willebois,1902-1904
34,Willem Merkelbach,1902-1904
35,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1902-1904
36,Willem Prinzen Fzn.,1902-1904
37,Frederic Joseph Maria Anton Reekers,1902-1904
38,Hubert Gérard Louis Regout,1902-1904
39,Alphonsus Maria Sassen,1902-1904
40,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1902-1904
41,Maurits van Asch van Wijck,1902-1904
42,Pieter Cornelis 't Hooft,1902-1904
43,Willem Hovy,1902-1904
44,Simon van Velzen,1902-1904
45,Jan Woltjer,1902-1904
46,Karel Anthonie Godin de Beaufort,1902-1904
47,Jacob Petrus Havelaar,1902-1904
48,Jan Elias Nicolaas Schimmelpenninck van der Oye,1902-1904
49,Willem Constantijn van Pallandt van Waardenburg,1902-1904
50,Rembertus Pieter Dojes,1902-1904
51,Dirk Willem Stork,1902-1904
52,Aart van der Wijck,1902-1904
53,Joseph Servatius Hubertus Brouwers,1902-1904
54,Arnoldus Hyacinthus Maria van Berckel,1902-1904
0,Arnoldus Hyacinthus Maria van Berckel,1904-1907
1,Jean Gustave Stanislas Bevers,1904-1907
2,Jacob Willem van den Biesen,1904-1907
3,Henricus Paulus Cornelis Bosch van Drakestein,1904-1907
4,Joseph Servatius Hubertus Brouwers,1904-1907
5,Petrus van der Does de Willebois,1904-1907
6,Pieter von Fisenne,1904-1907
7,Theodorus Everhardus Franciscus Heerkens,1904-1907
8,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1904-1907
9,Willem Merkelbach,1904-1907
10,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1904-1907
11,Willem Prinzen Fzn.,1904-1907
12,Frederic Joseph Maria Anton Reekers,1904-1907
13,Louis Regout,1904-1907
14,Alphonsus Maria Sassen,1904-1907
15,Petrus Jacobus Franciscus Vermeulen,1904-1907
16,Walther Simon Joseph van Waterschoot van der Gracht,1904-1907
17,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1904-1907
18,Petrus Johannes van Beyma,1904-1907
19,Jan Breebaart Kzn.,1904-1907
20,Herman Frederik Bultman,1904-1907
21,Rembertus Pieter Dojes,1904-1907
22,Samuel van Houten,1904-1907
23,Melchert de Jong,1904-1907
24,Herman Jacob Kist,1904-1907
25,Dirk Laan,1904-1907
26,Wilhelmus Frederik van Leeuwen,1904-1907
27,Frederik Salomon van Nierop,1904-1907
28,Eduard Nicolaas Rahusen,1904-1907
29,Jan Evert Scholten,1904-1907
30,Jacob Sickenga,1904-1907
31,Dirk Willem Stork,1904-1907
32,Sjoerd Anne Vening Meinesz,1904-1907
33,Wilco Julius van Welderen Rengers,1904-1907
34,Derk Knol Welt,1904-1907
35,Jan Jacob Willinge,1904-1907
36,Maurits van Asch van Wijck,1904-1907
37,Herman Franssen,1904-1907
38,Pieter Cornelis 't Hooft,1904-1907
39,Karel van Heeckeren van Kell,1904-1907
40,Willem Hovy,1904-1907
41,Simon van Velzen,1904-1907
42,Hendrik Waller,1904-1907
43,Jan Woltjer,1904-1907
44,Karel Antonie Godin de Beaufort,1904-1907
45,Jacob Petrus Havelaar,1904-1907
46,Constantijn Willem van Limburg Stirum,1904-1907
47,Jan Elias Nicolaas Schimmelpenninck van der Oye,1904-1907
48,Jan Dirk van Wassenaer van Rosande,1904-1907
49,Gustaaf van der Feltz,1904-1907
50,Jan Adriaan Laan,1904-1907
51,Henri Staal,1904-1907
52,Egbertus Pelinck,1904-1907
53,Constant Maurits Ernst van Löben Sels,1904-1907
0,Petrus Johannes van Beyma,1907-1910
1,Reitze Bloembergen Ezn.,1907-1910
2,Jan Breebaart Kzn.,1907-1910
3,Rembertus Pieter Dojes,1907-1910
4,Melchert de Jong,1907-1910
5,Herman Jacob Kist,1907-1910
6,Jan Adriaan Laan,1907-1910
7,Wilhelmus Frederik van Leeuwen,1907-1910
8,Frederik Salomon van Nierop,1907-1910
9,Egbertus Pelinck,1907-1910
10,Eduard Nicolaas Rahusen,1907-1910
11,Jan Evert Scholten,1907-1910
12,Jacob Sickenga,1907-1910
13,Henri Staal,1907-1910
14,Dirk Willem Stork,1907-1910
15,Sjoerd Anne Vening Meinesz,1907-1910
16,Wilco Julius van Welderen Rengers,1907-1910
17,Derk Knol Welt,1907-1910
18,Willem Henricus Jacobus Theodorus van Basten Batenburg,1907-1910
19,Jean Gustave Stanislas Bevers,1907-1910
20,Jacob Willem van den Biesen,1907-1910
21,Henricus Paulus Cornelis Bosch van Drakestein,1907-1910
22,Joseph Servatius Hubertus Brouwers,1907-1910
23,Petrus van der Does de Willebois,1907-1910
24,Pieter von Fisenne,1907-1910
25,Theodorus Everhardus Franciscus Heerkens,1907-1910
26,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1907-1910
27,Willem Merkelbach,1907-1910
28,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1907-1910
29,Willem Prinzen Fzn.,1907-1910
30,Frederic Joseph Maria Anton Reekers,1907-1910
31,Louis Regout,1907-1910
32,Alphonsus Maria Sassen,1907-1910
33,Petrus Jacobus Franciscus Vermeulen,1907-1910
34,Walther Simon Joseph van Waterschoot van der Gracht,1907-1910
35,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1907-1910
36,Maurits van Asch van Wijck,1907-1910
37,Herman Franssen,1907-1910
38,Karel van Heeckeren van Kell,1907-1910
39,Pieter Cornelis 't Hooft,1907-1910
40,Willem Hovy,1907-1910
41,Constant Maurits Ernst van Löben Sels,1907-1910
42,Simon van Velzen,1907-1910
43,Hendrik Waller,1907-1910
44,Jan Woltjer,1907-1910
45,Karel Antonie Godin de Beaufort,1907-1910
46,Jacob Petrus Havelaar,1907-1910
47,Jan Elias Nicolaas Schimmelpenninck van der Oye,1907-1910
48,Jan Dirk van Wassenaer van Rosande,1907-1910
49,Gustaaf van der Feltz,1907-1910
50,Joan Röell,1907-1910
51,Edzard Tjarda van Starkenborgh Stachouwer,1907-1910
52,Karel Raymakers,1907-1910
53,Oscar Maria Franciscus Haffmans,1907-1910
54,Jan Joseph Godfried Voorst tot Voorst,1907-1910
55,Franciscus Xaverius Arnoldus Verheyen,1907-1910
56,Louis Henri Leonard Joseph van der Maesen de Sombreff,1907-1910
57,Harry Barge,1907-1910
58,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1907-1910
0,Petrus Johannes van Beyma,1910-1913
1,Reitze Bloembergen Ezn.,1910-1913
2,Jan Breebaart Kzn.,1910-1913
3,Rembertus Pieter Dojes,1910-1913
4,Melchert de Jong,1910-1913
5,Herman Jacob Kist,1910-1913
6,Jan Adriaan Laan,1910-1913
7,Wilhelmus Frederik van Leeuwen,1910-1913
8,Frederik Salomon van Nierop,1910-1913
9,Egbertus Pelinck,1910-1913
10,Eduard Nicolaas Rahusen,1910-1913
11,Jan Evert Scholten,1910-1913
12,Jacob Sickenga,1910-1913
13,Henri Staal,1910-1913
14,Dirk Willem Stork,1910-1913
15,Sjoerd Anne Vening Meinesz,1910-1913
16,Wilco Julius van Welderen Rengers,1910-1913
17,Derk Knol Welt,1910-1913
18,Willem Henricus Jacobus Theodorus van Basten Batenburg,1910-1913
19,Jean Gustave Stanislas Bevers,1910-1913
20,Jacob Willem van den Biesen,1910-1913
21,Henricus Paulus Cornelis Bosch van Drakestein,1910-1913
22,Joseph Servatius Hubertus Brouwers,1910-1913
23,Petrus van der Does de Willebois,1910-1913
24,Pieter von Fisenne,1910-1913
25,Theodorus Everhardus Franciscus Heerkens,1910-1913
26,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1910-1913
27,Willem Merkelbach,1910-1913
28,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1910-1913
29,Willem Prinzen Fzn.,1910-1913
30,Frederic Joseph Maria Anton Reekers,1910-1913
31,Louis Regout,1910-1913
32,Alphonsus Maria Sassen,1910-1913
33,Petrus Jacobus Franciscus Vermeulen,1910-1913
34,Walther Simon Joseph van Waterschoot van der Gracht,1910-1913
35,Emilius Henricus Josephus Maria van Zinnicq Bergmann,1910-1913
36,Maurits van Asch van Wijck,1910-1913
37,Herman Franssen,1910-1913
38,Karel van Heeckeren van Kell,1910-1913
39,Pieter Cornelis 't Hooft,1910-1913
40,Willem Hovy,1910-1913
41,Constant Maurits Ernst van Löben Sels,1910-1913
42,Simon van Velzen,1910-1913
43,Hendrik Waller,1910-1913
44,Jan Woltjer,1910-1913
45,Karel Antonie Godin de Beaufort,1910-1913
46,Jacob Petrus Havelaar,1910-1913
47,Jan Elias Nicolaas Schimmelpenninck van der Oye,1910-1913
48,Jan Dirk van Wassenaer van Rosande,1910-1913
49,Gustaaf van der Feltz,1910-1913
50,Joan Röell,1910-1913
51,Edzard Tjarda van Starkenborgh Stachouwer,1910-1913
52,Karel Raymakers,1910-1913
53,Oscar Maria Franciscus Haffmans,1910-1913
54,Jan Joseph Godfried Voorst tot Voorst,1910-1913
55,Franciscus Xaverius Arnoldus Verheyen,1910-1913
56,Louis Henri Leonard Joseph van der Maesen de Sombreff,1910-1913
57,Harry Barge,1910-1913
58,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1910-1913
0,Willem Henricus Jacobus Theodorus van Basten Batenburg,1913-1916
1,Jacob Willem van den Biesen,1913-1916
2,Henricus Paulus Cornelis Bosch van Drakestein,1913-1916
3,Petrus van der Does de Willebois,1913-1916
4,Oscar Maria Franciscus Haffmans,1913-1916
5,Emile Alexis Marie van der Kun,1913-1916
6,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1913-1916
7,Jan van der Lande,1913-1916
8,Willem Maria van Lanschot,1913-1916
9,Louis Henri Leonard Joseph van der Maesen de Sombreff,1913-1916
10,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1913-1916
11,Frederic Joseph Maria Anton Reekers,1913-1916
12,Louis Regout,1913-1916
13,Antonius Johannes Ignatius Maria Smits,1913-1916
14,Franciscus Xaverius Arnoldus Verheyen,1913-1916
15,Petrus Jacobus Franciscus Vermeulen,1913-1916
16,Jan Joseph Godfried Voorst tot Voorst,1913-1916
17,Walther Simon Joseph van Waterschoot van der Gracht,1913-1916
18,Edo Johannes Bergsma,1913-1916
19,Reitze Bloembergen Ezn.,1913-1916
20,Klaas de Boer Czn.,1913-1916
21,Jacob Theodoor Cremer,1913-1916
22,Rembertus Pieter Dojes,1913-1916
23,Petrus Boele Jacobus Ferf,1913-1916
24,Douwinus Johannes van Houten,1913-1916
25,Jacob Kraus,1913-1916
26,Jan Adriaan Laan,1913-1916
27,Frederik Salomon van Nierop,1913-1916
28,Egbertus Pelinck,1913-1916
29,Henri Staal,1913-1916
30,Edzard Tjarda van Starkenborgh Stachouwer,1913-1916
31,Geuchien Zijlma,1913-1916
32,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1913-1916
33,Herman Bavinck,1913-1916
34,Lodewijk Willem Christiaan van den Berg,1913-1916
35,Herman Franssen,1913-1916
36,Pieter Cornelis 't Hooft,1913-1916
37,Willem Hovy,1913-1916
38,Abraham Kuyper,1913-1916
39,Constant Maurits Ernst van Löben Sels,1913-1916
40,Jan Wolter,1913-1916
41,Nicolaas Charles de Gijselaar,1913-1916
42,Jan Elias Nicolaas Schimmelpenninck van der Oye,1913-1916
43,Willem Lodewijk de Vos van Steenwijk,1913-1916
44,Jan Dirk van Wassenaer van Rosande,1913-1916
45,Hendrik Lodewijk Drucker,1913-1916
46,Gustaaf van der Feltz,1913-1916
47,Henri van Kol,1913-1916
48,Henri Polak,1913-1916
49,Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke,1913-1916
50,Gerardus Jacobus van Swaaij,1913-1916
51,Jan Willem Marie Bosch van Oud-Amelisweerd,1913-1916
52,Arnoldus Josephus Aloysius Gilissen,1913-1916
53,Rudolph Johan August Diepen,1913-1916
54,Hendrik Gerard Holthe tot Echten,1913-1916
55,Theodorus Marius Theresius Welderen baron Renger,1913-1916
56,Jacobus Kappeyne van de Coppello,1913-1916
57,Hendrik Colijn,1913-1916
58,Christiaan Lucasse,1913-1916
59,Otto Jacob Eifelanus van Wassenaer van Catwijck,1913-1916
60,Abraham van der Hoeven,1913-1916
0,Willem Henricus Jacobus Theodorus van Basten Batenburg,1916-1917
1,Jacob Willem van den Biesen,1916-1917
2,Jan Willem Marie Bosch van Oud-Amelisweerd,1916-1917
3,Rudolph Johan August Diepen,1916-1917
4,Petrus van der Does de Willebois,1916-1917
5,Arnoldus Josephus Aloysius Gilissen,1916-1917
6,Oscar Maria Franciscus Haffmans,1916-1917
7,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1916-1917
8,Willem Maria van Lanschot,1916-1917
9,Louis Henri Leonard Joseph van der Maesen de Sombreff,1916-1917
10,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1916-1917
11,Frederic Joseph Maria Anton Reekers,1916-1917
12,Antonius Johannes Ignatius Maria Smits,1916-1917
13,Gerardus Jacobus van Swaaij,1916-1917
14,Franciscus Xaverius Arnoldus Verheyen,1916-1917
15,Jan Joseph Godfried Voorst tot Voorst,1916-1917
16,Walther Simon Joseph van Waterschoot van der Gracht,1916-1917
17,Edo Johannes Bergsma,1916-1917
18,Halbe Binnerts,1916-1917
19,Klaas de Boer Czn.,1916-1917
20,Jacob Theodoor Cremer,1916-1917
21,Rembertus Pieter Dojes,1916-1917
22,Hendrik Gerard Holthe tot Echten,1916-1917
23,Douwinus Johannes van Houten,1916-1917
24,Jacobus Kappeyne van de Coppello,1916-1917
25,Jacob Kraus,1916-1917
26,Jan Adriaan Laan,1916-1917
27,Frederik Salomon van Nierop,1916-1917
28,Henri Staal,1916-1917
29,Dirk Willem Stork,1916-1917
30,Edzard Tjarda van Starkenborgh Stachouwer,1916-1917
31,Geuchien Zijlma,1916-1917
32,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1916-1917
33,Herman Bavinck,1916-1917
34,Lodewijk Willem Christiaan van de Berg,1916-1917
35,Hendrik Colijn,1916-1917
36,Herman Franssen,1916-1917
37,Pieter Cornelis 't Hooft,1916-1917
38,Abraham Kuyper,1916-1917
39,Christiaan Lucasse,1916-1917
40,Jan Woltjer,1916-1917
41,Nicolaas Charles de Gijselaar,1916-1917
42,Abraham van der Hoeven,1916-1917
43,Willem Lodewijk de Vos van Steenwijk,1916-1917
44,Otto Jacob Eifelanus van Wassenaer van Catwijck,1916-1917
45,Hendrik Lodewijk Drucker,1916-1917
46,Gustaaf van der Feltz,1916-1917
47,Henri van Kol,1916-1917
48,Henri Polak,1916-1917
49,Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke,1916-1917
50,Franciscus Hubertus van Wichen,1916-1917
51,Jan Berent Westerdijk,1916-1917
0,Willem Henricus Jacobus Theodorus van Basten Batenburg,1917-1919
1,Jacob Willem van den Biesen,1917-1919
2,Jan Willem Marie Bosch van Oud-Amelisweerd,1917-1919
3,Rudolph Johan August Diepen,1917-1919
4,Petrus van der Does de Willebois,1917-1919
5,Arnoldus Josephus Aloysius Gilissen,1917-1919
6,Oscar Maria Franciscus Haffmans,1917-1919
7,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1917-1919
8,Willem Maria van Lanschot,1917-1919
9,Louis Henri Leonard Joseph van der Maesen de Sombreff,1917-1919
10,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1917-1919
11,Frederic Joseph Maria Anton Reekers,1917-1919
12,Antonius Johannes Ignatius Maria Smits,1917-1919
13,Gerardus Jacobus van Swaaij,1917-1919
14,Franciscus Xaverius Arnoldus Verheyen,1917-1919
15,Jan Joseph Godfried Voorst tot Voorst,1917-1919
16,Franciscus Hubertus van Wichen,1917-1919
17,Edo Johannes Bergsma,1917-1919
18,Halbe Binnerts,1917-1919
19,Klaas de Boer Czn.,1917-1919
20,Jacob Theodoor Cremer,1917-1919
21,Rembertus Pieter Dojes,1917-1919
22,Carel Coenraad Geertsema,1917-1919
23,Hendrik Gerard Holthe tot Echten,1917-1919
24,Douwinus Johannes van Houten,1917-1919
25,Jacobus Kappeyne van de Coppello,1917-1919
26,Jacob Kraus,1917-1919
27,Jan Adriaan Laan,1917-1919
28,Frederik Salomon van Nierop,1917-1919
29,Henri Staal,1917-1919
30,Dirk Willem Stork,1917-1919
31,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1917-1919
32,Herman Bavinck,1917-1919
33,Lodewijk Willem Christiaan van den Berg,1917-1919
34,Hendrik Colijn,1917-1919
35,Herman Franssen,1917-1919
36,Pieter Cornelis 't Hooft,1917-1919
37,Abraham Kuyper,1917-1919
38,Christiaan Lucasse,1917-1919
39,Jan-Hendrik de Waal Malefijt,1917-1919
40,Nicolaas Charles de Gijselaar,1917-1919
41,Abraham van der Hoeven,1917-1919
42,Willem Lodewijk de Vos van Steenwijk,1917-1919
43,Otto Jacob Eifelanus van Wassenaer van Catwijck,1917-1919
44,Hendrik Lodewijk Drucker,1917-1919
45,Gustaaf van der Feltz,1917-1919
46,Jan Berent Westerdijk,1917-1919
47,Henri van Kol,1917-1919
48,Henri Polak,1917-1919
49,Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke,1917-1919
50,Cornelis Leonardus Bressers,1917-1919
51,David van Embden,1917-1919
52,Willem Vliegen,1917-1919
0,Harm Smeenge,1919-1922
1,Henri van Kol,1919-1922
2,Hendrik Colijn,1919-1922
3,Willem Henricus Jacobus Theodorus van Basten Batenburg,1919-1922
4,Maup Mendels,1919-1922
5,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1919-1922
6,Rudolph Johan August Diepen,1919-1922
7,Willem Maria van Lanschot,1919-1922
8,Jacobus Antonius Alphonsus Maria van Loon,1919-1922
9,David van Embden,1919-1922
10,Henri Staal,1919-1922
11,Willem Vliegen,1919-1922
12,Herman Franssen,1919-1922
13,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1919-1922
14,Herman Bavinck,1919-1922
15,Nicolaas Charles de Gijselaar,1919-1922
16,Franciscus Hubertus van Wichen,1919-1922
17,Jan Hendrik de Waal Malefijt,1919-1922
18,Willem Henricus Jacobus Theodorus van Basten Batenburg,1919-1922
19,Jan Willem Marie Bosch van Oud-Amelisweerd,1919-1922
20,Rudolph Johan August Diepen,1919-1922
21,Petrus van der Does de Willebois,1919-1922
22,Arnoldus Joseph Aloysius Gilissen,1919-1922
23,Oscar Maria Franciscus Haffmans,1919-1922
24,Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde,1919-1922
25,Willem Maria van Lanschot,1919-1922
26,Jacobus Antonius Alphonsus Maria van Loon,1919-1922
27,Louis Henri Leonard Joseph van der Maesen de Sombreff,1919-1922
28,Alphonse Hilaire Joseph Hubert Michiels van Kessenich,1919-1922
29,Frederic Joseph Maria Anton Reekers,1919-1922
30,Antonius Johannes Ignatius Maria Smits,1919-1922
31,Gerardus Jacobus van Swaaij,1919-1922
32,Franciscus Xaverius Arnoldus Verheyen,1919-1922
33,Jan Joseph Godfried Voorst tot Voorst,1919-1922
34,Franciscus Hubertus van Wichen,1919-1922
35,Edo Johannes Bergsma,1919-1922
36,Halbe Binnerts,1919-1922
37,Klaas de Boer Czn.,1919-1922
38,Jacob Theodoor Cremer,1919-1922
39,Rembertus Pieter Dojes,1919-1922
40,Carel Coenraad Geertsema,1919-1922
41,Douwinus Johannes van Houten,1919-1922
42,Jacobus Kappeyne van de Coppello,1919-1922
43,Jacob Kraus,1919-1922
44,Frederik Salomon van Nierop,1919-1922
45,Harm Smeenge,1919-1922
46,Henri Staal,1919-1922
47,Dirk Willem Stork,1919-1922
48,Gijsbert d'Aumale van Hardenbroek van Hardenbroek,1919-1922
49,Herman Bavinck,1919-1922
50,Lodewijk Willem Christiaan van den Berg,1919-1922
51,Hendrik Colijn,1919-1922
52,Herman Franssen,1919-1922
53,Pieter Cornelis 't Hooft,1919-1922
54,Abraham Kuyper,1919-1922
55,Christiaan Lucasse,1919-1922
56,Jan Hendrik de Waal Malefijt,1919-1922
57,Henri van Kol,1919-1922
58,Maup Mendels,1919-1922
59,Henri Polak,1919-1922
60,Willem Vliegen,1919-1922
61,Nicolaas Charles de Gijselaar,1919-1922
62,Abraham van der Hoeven,1919-1922
63,Willem Lodewijk de Vos van Steenwijk,1919-1922
64,Otto Jacob Eifelanus van Wassenaer van Catwijck,1919-1922
65,David van Embden,1919-1922
66,Gustaaf van der Feltz,1919-1922
67,Abraham Jacobus Frederik Fokker van Crayestein van Rengerskerke,1919-1922
