politician,vote,law,date,house,b1_nummer
Teenstra,1,Successiewet 1921,1921-04-14,Tweede Kamer,01344
Engels,1,Successiewet 1921,1921-04-14,Tweede Kamer,00385
Bulten,1,Successiewet 1921,1921-04-14,Tweede Kamer,00237
van Wijnbergen,1,Successiewet 1921,1921-04-14,Tweede Kamer,01583
Bakker,1,Successiewet 1921,1921-04-14,Tweede Kamer,00059
van Beresteyn,1,Successiewet 1921,1921-04-14,Tweede Kamer,00090
Marchant,1,Successiewet 1921,1921-04-14,Tweede Kamer,00875
Hugenholtz,1,Successiewet 1921,1921-04-14,Tweede Kamer,00615
Schouten,1,Successiewet 1921,1921-04-14,Tweede Kamer,01225
van Dijk,1,Successiewet 1921,1921-04-14,Tweede Kamer,00363
Albarda,1,Successiewet 1921,1921-04-14,Tweede Kamer,00011
Drion,0,Successiewet 1921,1921-04-14,Tweede Kamer,00344
Gerretson,0,Successiewet 1921,1921-04-14,Tweede Kamer,00448
Rink,0,Successiewet 1921,1921-04-14,Tweede Kamer,01113
Dresselhuys,0,Successiewet 1921,1921-04-14,Tweede Kamer,00341
A. Staalman,0,Successiewet 1921,1921-04-14,Tweede Kamer,01292
de Monté ver Loren,0,Successiewet 1921,1921-04-14,Tweede Kamer,00940
de Kanter,0,Successiewet 1921,1921-04-14,Tweede Kamer,00672
Heemskerk,0,Successiewet 1921,1921-04-14,Tweede Kamer,00540
van Rappard,0,Successiewet 1921,1921-04-14,Tweede Kamer,01082
Fruytier,0,Successiewet 1921,1921-04-14,Tweede Kamer,00430
de Wijkerslooth de Weerdesteyn,0,Successiewet 1921,1921-04-14,Tweede Kamer,01580
van Sasse van Ysselt,0,Successiewet 1921,1921-04-14,Tweede Kamer,01172
Swane,0,Successiewet 1921,1921-04-14,Tweede Kamer,01328
Braat,0,Successiewet 1921,1921-04-14,Tweede Kamer,00191
Beumer,0,Successiewet 1921,1921-04-14,Tweede Kamer,00106
Weitkamp,0,Successiewet 1921,1921-04-14,Tweede Kamer,01514
Snoeck Henkemans,0,Successiewet 1921,1921-04-14,Tweede Kamer,01283
Koelen,0,Successiewet 1921,1921-04-14,Tweede Kamer,00733
Viruly,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01436
 Magnée,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00871
 Vlielander Hein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01452
 van Lier,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00818
 de Jong,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00651
 E. Gremers,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00280
 Pijnappel,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01068
 Vening Meinesz,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01405
 Blijdenstein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00139
 Fransen van de Putte,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00421
 Bultman,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00238
 Welt,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01065
 Kist,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00701
 Wertheim,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01524
 van Alphen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00018
 Nebbens Sterling,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00958
 Muller,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00948
 Stork,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01313
 A. Prins,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01060
 Merkelbach,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00905
 J. Prins,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01061
 Fokker,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00413
 Alberda van Ekenstein,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00014
 Coenen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
 Breebaart,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00204
 van Roijen,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01137
 van Gennep,1,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00444
Engelberts,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00381
 Rahusen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01077
 Verheijen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01414
 L. van Nispen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01077
 Melvil van Lynden,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
 Smitz,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01281
 Godin de Beaufort,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00465
 Pyls,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01065
 W. Cremers,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00282
 de Savornin Lohman,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01177
 Prinzen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01062
 van Nispen tot Pannerdeu,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00971
 Sassen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01174
 Regout,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01095
 van Pallandt van Waardenburg,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,01016
Neerijnen,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00260
van Naamen van Eemnes,0,Inkomstenbelasting 1893,1893-09-28,Eerste Kamer,00954
van Kol,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00723
 Haffmans,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00509
 Franssen,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00423
 Reekers,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01091
 Zijlma,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01609
 Woltjer,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01565
 de Vos van Steenwijk,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01482
 van Weideren Reugers,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01517
 van Holthe tot Echten,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00593
 van Houten,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00605
 de Boer,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00144
 Drucker,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00348
 Kraus,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00751
 Dojes,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00324
 Bergsma,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00101
 Polak,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01046
 van Swaay,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01291
 van Waterschoot van der Gracht,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01512
 de Gijselaar,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00501
 van Nierop,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00965
 't Hooft,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00598
 Fokker,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00144
 van Wassenaar van Catwijck,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01510
 Gilissen,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00459
 van Lamsweerde,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00780
 Staal,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,01291
 van den Biesen,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00117
 Bosch van Oud-Ainelisweerd,1,Inkomstenbelasting 1914,1914-12-18,Eerste Kamer,00181
de Boer,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00144
 Zijlma,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01609
 Colijn,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00263
 Drucker,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00348
 Reekers,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01091
 Franssen,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00423
 Cremer,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00279
 van Waterschoot van der Gracht,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01512
 van Holthe tot Echten,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00593
 Bosch van Oud-Amelisweerd,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00181
 van Nierop,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00965
 van den Berg,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00092
 Kraus,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00751
 van Wassenaer van Catwiick,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01510
 Regout,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01097
 Gilissen,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00459
 Smits,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01275
 van Swaay,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01291
 van Houten,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00605
 van Welderen Rengers,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01517
 van der Hoeven,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00588
 Dojes,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00324
 de Vos van Steenwijk,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01482
 van den Biesen,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00117
 de Gijselaar,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00501
 Tjarda van Starkenborgh Stachouwer,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01369
 van Kol,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00723
 Polak,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01046
 Michiels van Kessenich,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00920
 van Lamsweerde,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00780
 Bavinck,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00068
 Staal,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01291
 van der Does de Willebois,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00323
 van der Feltz,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00399
 Woltjer,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01565
 Bergsma,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00101
 van der Maesen de Sombreff,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00869
 van der Lande,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00782
van Basten Batenburg,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,00065
van Voorst tot Voorst,1,Staatsschuldwet 1914,1914-12-23,Eerste Kamer,01468
Teding van Berkhout,1,Successiewet 1878,1878-06-04,Eerste Kamer,01342
 Borsius ,1,Successiewet 1878,1878-06-04,Eerste Kamer,00170
 Pincoffs,1,Successiewet 1878,1878-06-04,Eerste Kamer,01035
 Hein,1,Successiewet 1878,1878-06-04,Eerste Kamer,00551
 Smit,1,Successiewet 1878,1878-06-04,Eerste Kamer,01274
 du Marchie van Voorthuysen ,1,Successiewet 1878,1878-06-04,Eerste Kamer,00878
 Viruly,1,Successiewet 1878,1878-06-04,Eerste Kamer,01436
 Stork,1,Successiewet 1878,1878-06-04,Eerste Kamer,01313
 Buchner,1,Successiewet 1878,1878-06-04,Eerste Kamer,00233
 Schot,1,Successiewet 1878,1878-06-04,Eerste Kamer,01224
 de Sitter,1,Successiewet 1878,1878-06-04,Eerste Kamer,01252
 Dumbar,1,Successiewet 1878,1878-06-04,Eerste Kamer,00350
 van Rhemen van Rhemenshuizen,1,Successiewet 1878,1878-06-04,Eerste Kamer,01107
 Duymaer van Twist,1,Successiewet 1878,1878-06-04,Eerste Kamer,00353
 Prins,1,Successiewet 1878,1878-06-04,Eerste Kamer,01060
 de Raadt,1,Successiewet 1878,1878-06-04,Eerste Kamer,01074
 van Eysinga,1,Successiewet 1878,1878-06-04,Eerste Kamer,00393
 van Volïenhoven ,1,Successiewet 1878,1878-06-04,Eerste Kamer,01459
Pické,1,Successiewet 1878,1878-06-04,Eerste Kamer,01033
Smits,0,Successiewet 1878,1878-06-04,Eerste Kamer,01274
 Thooft,0,Successiewet 1878,1878-06-04,Eerste Kamer,01360
 van Sasse van Ysselt,0,Successiewet 1878,1878-06-04,Eerste Kamer,01173
 Hengst,0,Successiewet 1878,1878-06-04,Eerste Kamer,00561
 Beerenbroek,0,Successiewet 1878,1878-06-04,Eerste Kamer,00080
 Geertsema,0,Successiewet 1878,1878-06-04,Eerste Kamer,00436
 Huydecoper van Maarsseveen,0,Successiewet 1878,1878-06-04,Eerste Kamer,00622
 de Villers de Pité,0,Successiewet 1878,1878-06-04,Eerste Kamer,01434
 Michiels van Kessenich,0,Successiewet 1878,1878-06-04,Eerste Kamer,00921
 van Akerlaken,0,Successiewet 1878,1878-06-04,Eerste Kamer,00009
 Blussé,0,Successiewet 1878,1878-06-04,Eerste Kamer,00136
 Coenen,0,Successiewet 1878,1878-06-04,Eerste Kamer,00260
 Aylva baron van Pallandt van Waardenburg en Neerijnen,0,Successiewet 1878,1878-06-04,Eerste Kamer,00047
 van Rijckevorsel,0,Successiewet 1878,1878-06-04,Eerste Kamer,01158
 Vos de Wael,0,Successiewet 1878,1878-06-04,Eerste Kamer,01483
de Vos van Steenwijk,0,Successiewet 1878,1878-06-04,Eerste Kamer,01478
Lucasse,1,Successiewet 1911,1911-05-18,Eerste Kamer,00849
 Eranssen,1,Successiewet 1911,1911-05-18,Eerste Kamer,00423
 de Jong,1,Successiewet 1911,1911-05-18,Eerste Kamer,00651
 van Nierop,1,Successiewet 1911,1911-05-18,Eerste Kamer,00965
 van den Berg,1,Successiewet 1911,1911-05-18,Eerste Kamer,00092
" 
    van der Maesen de Sombreff",1,Successiewet 1911,1911-05-18,Eerste Kamer,00869
 van den Biesen,1,Successiewet 1911,1911-05-18,Eerste Kamer,00117
" 
    van der Does de Willebois",1,Successiewet 1911,1911-05-18,Eerste Kamer,00323
 van Lamsweerde,1,Successiewet 1911,1911-05-18,Eerste Kamer,00780
 Bloembergen,1,Successiewet 1911,1911-05-18,Eerste Kamer,00129
" 
    van Waterschoot van der Gracht",1,Successiewet 1911,1911-05-18,Eerste Kamer,01512
" 
    van Voorst tot Voorst",1,Successiewet 1911,1911-05-18,Eerste Kamer,01468
 Prinzen,1,Successiewet 1911,1911-05-18,Eerste Kamer,01062
 van Leeuwen,1,Successiewet 1911,1911-05-18,Eerste Kamer,00797
"
    van Lanschot",1,Successiewet 1911,1911-05-18,Eerste Kamer,00787
 van Pallandt,1,Successiewet 1911,1911-05-18,Eerste Kamer,01505
 Verheijen,1,Successiewet 1911,1911-05-18,Eerste Kamer,01413
 Laan,1,Successiewet 1911,1911-05-18,Eerste Kamer,00769
" 
    Breebaart",1,Successiewet 1911,1911-05-18,Eerste Kamer,00204
 Havelaar,1,Successiewet 1911,1911-05-18,Eerste Kamer,00530
 Barge,1,Successiewet 1911,1911-05-18,Eerste Kamer,00063
 Staal,1,Successiewet 1911,1911-05-18,Eerste Kamer,01291
 Kist,1,Successiewet 1911,1911-05-18,Eerste Kamer,00701
" 
    Woltjer",1,Successiewet 1911,1911-05-18,Eerste Kamer,01565
 do Marez Oyens,1,Successiewet 1911,1911-05-18,Eerste Kamer,00879
Aumale baron van Hardenbroek van Hardenbroek,1,Successiewet 1911,1911-05-18,Eerste Kamer,00045
 Welt,1,Successiewet 1911,1911-05-18,Eerste Kamer,00399
"
    Dojes",1,Successiewet 1911,1911-05-18,Eerste Kamer,00324
 van der Feltz,1,Successiewet 1911,1911-05-18,Eerste Kamer,00399
 Lely,1,Successiewet 1911,1911-05-18,Eerste Kamer,00802
 van Löben Sels,1,Successiewet 1911,1911-05-18,Eerste Kamer,00833
 van der Kun,1,Successiewet 1911,1911-05-18,Eerste Kamer,00763
 Bosch van Drakestein,1,Successiewet 1911,1911-05-18,Eerste Kamer,00180
 Pelinck,1,Successiewet 1911,1911-05-18,Eerste Kamer,01025
 Sickenga,1,Successiewet 1911,1911-05-18,Eerste Kamer,01245
 van Weideren Rengers,1,Successiewet 1911,1911-05-18,Eerste Kamer,01518
  Röell,1,Successiewet 1911,1911-05-18,Eerste Kamer,01118
 van Wassenaer van Rosande,1,Successiewet 1911,1911-05-18,Eerste Kamer,01511
Schimmelpenninck van der Oye,1,Successiewet 1911,1911-05-18,Eerste Kamer,01204
van Wichen,0,Successiewet 1916,1916-11-29,Eerste Kamer,01538
 Bosch van Oud-Amelisweerd,0,Successiewet 1916,1916-11-29,Eerste Kamer,00181
 van Swaay,0,Successiewet 1916,1916-11-29,Eerste Kamer,01291
 van den Berg,0,Successiewet 1916,1916-11-29,Eerste Kamer,00092
 Smits,0,Successiewet 1916,1916-11-29,Eerste Kamer,01275
 Diepen,0,Successiewet 1916,1916-11-29,Eerste Kamer,00306
 van Wassenaer van Catwijck,0,Successiewet 1916,1916-11-29,Eerste Kamer,01510
 Verheijen,0,Successiewet 1916,1916-11-29,Eerste Kamer,01413
 de Vos van Steenwijk,0,Successiewet 1916,1916-11-29,Eerste Kamer,01482
 van Lamsweerde,0,Successiewet 1916,1916-11-29,Eerste Kamer,00780
 van der Maesen de Sombreff,0,Successiewet 1916,1916-11-29,Eerste Kamer,00869
 Gilissen,0,Successiewet 1916,1916-11-29,Eerste Kamer,00459
 van der Does de Willebois,0,Successiewet 1916,1916-11-29,Eerste Kamer,00323
 Haffmans,0,Successiewet 1916,1916-11-29,Eerste Kamer,00509
 Michiels van Kessenich,0,Successiewet 1916,1916-11-29,Eerste Kamer,00920
 Franssen,0,Successiewet 1916,1916-11-29,Eerste Kamer,00423
 van den Biesen,0,Successiewet 1916,1916-11-29,Eerste Kamer,00117
 van Lanschot,0,Successiewet 1916,1916-11-29,Eerste Kamer,00787
 van Basten Batenburg,0,Successiewet 1916,1916-11-29,Eerste Kamer,00065
 Reekers,0,Successiewet 1916,1916-11-29,Eerste Kamer,01091
Aumale baron van Hardenbroek van Hardenbroek,0,Successiewet 1916,1916-11-29,Eerste Kamer,00045
van Voorst tot Voorst,0,Successiewet 1916,1916-11-29,Eerste Kamer,01468
de Boer,1,Successiewet 1916,1916-11-29,Eerste Kamer,00144
 Staal,1,Successiewet 1916,1916-11-29,Eerste Kamer,01291
 van Nierop,1,Successiewet 1916,1916-11-29,Eerste Kamer,00965
 van Houten,1,Successiewet 1916,1916-11-29,Eerste Kamer,00605
 Kappeyne van de Coppello,1,Successiewet 1916,1916-11-29,Eerste Kamer,00673
 Binnerts,1,Successiewet 1916,1916-11-29,Eerste Kamer,00124
 van Kol,1,Successiewet 1916,1916-11-29,Eerste Kamer,00723
 Bergsma,1,Successiewet 1916,1916-11-29,Eerste Kamer,00101
 Laan,1,Successiewet 1916,1916-11-29,Eerste Kamer,00769
 Stork,1,Successiewet 1916,1916-11-29,Eerste Kamer,01314
 van der Feltz,1,Successiewet 1916,1916-11-29,Eerste Kamer,00399
 Dojes,1,Successiewet 1916,1916-11-29,Eerste Kamer,00324
 Kraus,1,Successiewet 1916,1916-11-29,Eerste Kamer,00751
 Drucker,1,Successiewet 1916,1916-11-29,Eerste Kamer,00348
 van Holthe tot Echten,1,Successiewet 1916,1916-11-29,Eerste Kamer,00593
 Polak,1,Successiewet 1916,1916-11-29,Eerste Kamer,01046
 Cremer,1,Successiewet 1916,1916-11-29,Eerste Kamer,00279
Tjarda van Starkenborgh Stachouwer,1,Successiewet 1916,1916-11-29,Eerste Kamer,01369
Cremer,1,Successiewet 1921,1921-06-09,Eerste Kamer,00279
 Kraus,1,Successiewet 1921,1921-06-09,Eerste Kamer,00751
 Binnerts,1,Successiewet 1921,1921-06-09,Eerste Kamer,00124
 Van der Maesen de Sombreff,1,Successiewet 1921,1921-06-09,Eerste Kamer,00869
 van der Hoeven,1,Successiewet 1921,1921-06-09,Eerste Kamer,00588
 Bergsma,1,Successiewet 1921,1921-06-09,Eerste Kamer,00101
 Idenburg,1,Successiewet 1921,1921-06-09,Eerste Kamer,00623
 Wittert van Hoogland,1,Successiewet 1921,1921-06-09,Eerste Kamer,01561
 Pothuis-Smit,1,Successiewet 1921,1921-06-09,Eerste Kamer,01059
 van Embden,1,Successiewet 1921,1921-06-09,Eerste Kamer,00378
 Vliegen,1,Successiewet 1921,1921-06-09,Eerste Kamer,01451
 van der Lande,1,Successiewet 1921,1921-06-09,Eerste Kamer,00782
 Polak,1,Successiewet 1921,1921-06-09,Eerste Kamer,01046
 Mendels,1,Successiewet 1921,1921-06-09,Eerste Kamer,00902
 Dojes,1,Successiewet 1921,1921-06-09,Eerste Kamer,00324
 Diepenhorst,1,Successiewet 1921,1921-06-09,Eerste Kamer,00310
 van Houten,1,Successiewet 1921,1921-06-09,Eerste Kamer,00605
 Smeenge,1,Successiewet 1921,1921-06-09,Eerste Kamer,01269
 van Swaay,1,Successiewet 1921,1921-06-09,Eerste Kamer,01327
 Gilissen,1,Successiewet 1921,1921-06-09,Eerste Kamer,00459
 Geertsema,1,Successiewet 1921,1921-06-09,Eerste Kamer,00435
 de Waal Malefijt,1,Successiewet 1921,1921-06-09,Eerste Kamer,01498
 van Nierop,1,Successiewet 1921,1921-06-09,Eerste Kamer,00965
 van der Feltz,1,Successiewet 1921,1921-06-09,Eerste Kamer,00399
 Lucasse,1,Successiewet 1921,1921-06-09,Eerste Kamer,00849
 van den Berg,1,Successiewet 1921,1921-06-09,Eerste Kamer,00092
 van Loon,1,Successiewet 1921,1921-06-09,Eerste Kamer,00840
 Slingenberg,1,Successiewet 1921,1921-06-09,Eerste Kamer,01258
 Bosch van Oud-Amelisweerd,1,Successiewet 1921,1921-06-09,Eerste Kamer,00181
 van Basten Batenburg,1,Successiewet 1921,1921-06-09,Eerste Kamer,00065
 van Lanschot,1,Successiewet 1921,1921-06-09,Eerste Kamer,00787
 van der Does de Willebois,1,Successiewet 1921,1921-06-09,Eerste Kamer,00323
 Haffmans,1,Successiewet 1921,1921-06-09,Eerste Kamer,00509
van Voorst tot Voorst,1,Successiewet 1921,1921-06-09,Eerste Kamer,01468
Verheijen,0,Successiewet 1921,1921-06-09,Eerste Kamer,01413
Reekers,0,Successiewet 1921,1921-06-09,Eerste Kamer,01091
Fokker,0,Successiewet 1921,1921-06-09,Eerste Kamer,00144
 van Wassenaer van Catwijck,0,Successiewet 1921,1921-06-09,Eerste Kamer,01510
 't Hooft,0,Successiewet 1921,1921-06-09,Eerste Kamer,00598
Smits,0,Successiewet 1921,1921-06-09,Eerste Kamer,01275
de Vos van Steenwijk,0,Successiewet 1921,1921-06-09,Eerste Kamer,01482
