"","jaar","bevolkingsomvang","RK_number","RK_pct","Hervormd_number","Hervormd_pct","Gereformeerd_number","Gereformeerd_pct","Overig_number","Overig_pct","districtname"
"251",1848,19574,2404,12.3,15932,81.4,217,1.1,1021,5.2,"Middelburg"
"252",1850,44506,14991,33.7,27925,62.7,359,0.8,1231,2.8,"Middelburg"
"253",1858,44688,15006,33.6,27858,62.3,601,1.3,1223,2.7,"Middelburg"
"254",1864,49378,18967,38.4,28365,57.4,1042,2.1,1004,2,"Middelburg"
"255",1869,49378,18967,38.4,28365,57.4,1042,2.1,1004,2,"Middelburg"
"256",1878,43408,11860,27.3,28828,66.4,1727,4,993,2.3,"Middelburg"
"257",1888,45892,5128,11.2,31103,67.8,6875,15,2786,6.1,"Middelburg"
"258",1897,57107,6827,12,37277,65.3,9646,16.9,3357,5.9,"Middelburg"
"259",1909,62794,7407,11.8,37371,59.5,11451,18.2,6565,10.5,"Middelburg"
"260",1848,18870,1365,7.2,17090,90.6,255,1.4,160,0.8,"Zierikzee"
"261",1850,22199,1864,8.4,19842,89.4,224,1,269,1.2,"Zierikzee"
"262",1858,23536,1789,7.6,20692,87.9,763,3.2,292,1.2,"Zierikzee"
"263",1864,22443,1750,7.8,19613,87.4,838,3.7,242,1.1,"Zierikzee"
"264",1869,22443,1750,7.8,19613,87.4,838,3.7,242,1.1,"Zierikzee"
"265",1878,23413,1647,7,20207,86.3,1214,5.2,345,1.5,"Zierikzee"
"266",1888,42779,2309,5.4,35298,82.5,4358,10.2,814,1.9,"Zierikzee"
"267",1897,44028,2070,4.7,36241,82.3,4810,10.9,907,2.1,"Zierikzee"
"268",1909,46029,2034,4.4,35802,77.8,5555,12.1,2638,5.7,"Zierikzee"
"269",1848,20547,9712,47.3,10060,49,605,2.9,170,0.8,"Goes"
"270",1850,22461,5244,23.3,16367,72.9,670,3,180,0.8,"Goes"
"271",1858,24157,5554,23,17107,70.8,1130,4.7,366,1.5,"Goes"
"272",1864,26587,3325,12.5,20533,77.2,2472,9.3,257,1,"Goes"
"273",1869,26587,3325,12.5,20533,77.2,2472,9.3,257,1,"Goes"
"274",1878,46475,18898,40.7,23421,50.4,3669,7.9,487,1,"Goes"
"275",1888,43868,3674,8.4,32743,74.6,6070,13.8,1381,3.1,"Goes"
"276",1897,42575,3703,8.7,31004,72.8,6633,15.6,1235,2.9,"Goes"
"277",1909,45564,3898,8.6,30823,67.6,6139,13.5,4704,10.3,"Goes"
"278",1848,19845,7697,38.8,11803,59.5,142,0.7,203,1,"Sluis"
"279",1848,20702,18310,88.4,2212,10.7,11,0.1,169,0.8,"Bergen op Zoom"
"280",1888,45763,41736,91.2,3373,7.4,367,0.8,287,0.6,"Bergen op Zoom"
"281",1897,51254,47092,91.9,3333,6.5,454,0.9,375,0.7,"Bergen op Zoom"
"282",1909,59407,54715,92.1,3369,5.7,777,1.3,546,0.9,"Bergen op Zoom"
"283",1848,20482,18220,89,1877,9.2,5,0,380,1.9,"Breda"
"284",1850,44390,37085,83.5,6644,15,90,0.2,571,1.3,"Breda"
"285",1858,46138,38620,83.7,6869,14.9,85,0.2,564,1.2,"Breda"
"286",1864,48251,40941,84.9,6586,13.6,231,0.5,493,1,"Breda"
"287",1869,48251,40941,84.9,6586,13.6,231,0.5,493,1,"Breda"
"288",1878,44537,41322,92.8,2858,6.4,8,0,349,0.8,"Breda"
"289",1888,45480,39724,87.3,4765,10.5,115,0.3,876,1.9,"Breda"
"290",1897,52138,45806,87.9,5120,9.8,146,0.3,1066,2,"Breda"
"291",1909,57519,51315,89.2,4196,7.3,701,1.2,1307,2.3,"Breda"
"292",1848,20585,15089,73.3,5270,25.6,119,0.6,107,0.5,"Zevenbergen"
"293",1878,22345,11933,53.4,9638,43.1,660,3,114,0.5,"Zevenbergen"
"294",1888,42494,28216,66.4,11060,26,3016,7.1,202,0.5,"Zevenbergen"
"295",1897,46114,30879,67,11562,25.1,3446,7.5,227,0.5,"Zevenbergen"
"296",1909,50912,34815,68.4,12101,23.8,3789,7.4,207,0.4,"Zevenbergen"
"297",1848,21818,21044,96.5,645,3,3,0,126,0.6,"Tilburg"
"298",1850,44360,38586,87,5376,12.1,134,0.3,264,0.6,"Tilburg"
"299",1858,44400,39542,89.1,4506,10.1,128,0.3,224,0.5,"Tilburg"
"300",1864,48898,43597,89.2,4809,9.8,234,0.5,258,0.5,"Tilburg"
"301",1869,46495,41295,88.8,4716,10.1,234,0.5,250,0.5,"Tilburg"
"302",1878,46547,44858,96.4,1460,3.1,10,0,219,0.5,"Tilburg"
"303",1888,46295,44813,96.8,1119,2.4,91,0.2,272,0.6,"Tilburg"
"304",1897,53935,52481,97.3,1080,2,117,0.2,257,0.5,"Tilburg"
"305",1909,65079,63365,97.4,1158,1.8,200,0.3,356,0.5,"Tilburg"
"306",1848,22428,21905,97.7,418,1.9,0,0,105,0.5,"Eindhoven"
"307",1850,44838,44052,98.2,650,1.4,0,0,136,0.3,"Eindhoven"
"308",1858,46075,45252,98.2,655,1.4,1,0,167,0.4,"Eindhoven"
"309",1864,45345,44406,97.9,697,1.5,0,0,242,0.5,"Eindhoven"
"310",1869,40378,39375,97.5,776,1.9,0,0,227,0.6,"Eindhoven"
"311",1878,44326,43221,97.5,910,2.1,6,0,189,0.4,"Eindhoven"
"312",1888,42043,40842,97.1,804,1.9,43,0.1,354,0.8,"Eindhoven"
"313",1897,45141,43879,97.2,845,1.9,24,0.1,393,0.9,"Eindhoven"
"314",1909,54804,53262,97.2,881,1.6,115,0.2,546,1,"Eindhoven"
"315",1848,23735,23306,98.2,384,1.6,0,0,45,0.2,"Helmond"
"316",1888,38860,37956,97.7,740,1.9,96,0.2,68,0.2,"Helmond"
"317",1897,41924,41010,97.8,773,1.8,47,0.1,94,0.2,"Helmond"
"318",1909,48659,47406,97.4,989,2,104,0.2,160,0.3,"Helmond"
"319",1848,20672,18613,90,1518,7.3,0,0,541,2.6,"Maastricht"
"320",1850,45493,43109,94.8,1685,3.7,0,0,699,1.5,"Maastricht"
"321",1858,48124,46089,95.8,1274,2.6,1,0,761,1.6,"Maastricht"
"322",1864,49262,47543,96.5,1041,2.1,3,0,675,1.4,"Maastricht"
"323",1869,44782,43075,96.2,1029,2.3,3,0,675,1.5,"Maastricht"
"324",1878,45604,44291,97.1,766,1.7,3,0,544,1.2,"Maastricht"
"325",1888,45714,43711,95.6,1080,2.4,47,0.1,876,1.9,"Maastricht"
"326",1897,51000,49158,96.4,1027,2,10,0,805,1.6,"Maastricht"
"327",1909,59393,57343,96.5,1084,1.8,130,0.2,836,1.4,"Maastricht"
"328",1848,19194,18878,98.4,206,1.1,0,0,110,0.6,"Sittard"
"329",1888,43015,42391,98.5,334,0.8,3,0,287,0.7,"Sittard"
"330",1897,45692,45092,98.7,355,0.8,2,0,243,0.5,"Sittard"
"331",1909,51632,50687,98.2,496,1,74,0.1,375,0.7,"Sittard"
"332",1848,20414,20135,98.6,135,0.7,0,0,144,0.7,"Heerlen"
"333",1848,21699,21408,98.7,195,0.9,0,0,96,0.4,"Roermond"
"334",1850,45959,44790,97.5,861,1.9,0,0,308,0.7,"Roermond"
"335",1858,48062,47128,98.1,657,1.4,1,0,276,0.6,"Roermond"
"336",1864,50989,50008,98.1,656,1.3,1,0,324,0.6,"Roermond"
"337",1869,44766,44114,98.5,430,1,1,0,221,0.5,"Roermond"
"338",1878,46536,45879,98.6,428,0.9,1,0,228,0.5,"Roermond"
"339",1888,42080,41426,98.4,467,1.1,14,0,173,0.4,"Roermond"
"340",1897,45076,44288,98.3,571,1.3,9,0,208,0.5,"Roermond"
"341",1909,50537,49761,98.5,513,1,47,0.1,216,0.4,"Roermond"
"342",1848,21537,20804,96.6,590,2.7,0,0,143,0.7,"Venlo"
"343",1888,44101,42796,97,957,2.2,12,0,336,0.8,"Venlo"
"344",1897,49476,48031,97.1,1053,2.1,12,0,380,0.8,"Venlo"
"345",1909,58068,56556,97.4,884,1.5,207,0.4,421,0.7,"Venlo"
"346",1848,22670,21872,96.5,566,2.5,1,0,231,1,"Grave"
"347",1888,45384,44155,97.3,722,1.6,57,0.1,450,1,"Grave"
"348",1897,45615,44594,97.8,630,1.4,1,0,390,0.9,"Grave"
"349",1909,48241,47249,97.9,602,1.2,31,0.1,359,0.7,"Grave"
"350",1848,23922,21507,89.9,1999,8.4,35,0.1,381,1.6,"Den Bosch"
"351",1850,44583,40831,91.6,3123,7,50,0.1,579,1.3,"Den Bosch"
"352",1858,45118,41591,92.2,2888,6.4,40,0.1,599,1.3,"Den Bosch"
"353",1864,46793,43821,93.6,2349,5,76,0.2,547,1.2,"Den Bosch"
"354",1869,43817,41053,93.7,2186,5,76,0.2,502,1.1,"Den Bosch"
"355",1878,46649,44044,94.4,1942,4.2,69,0.1,594,1.3,"Den Bosch"
"356",1888,46916,42586,90.8,3224,6.9,318,0.7,788,1.7,"Den Bosch"
"357",1897,51922,47554,91.6,3118,6,394,0.8,856,1.6,"Den Bosch"
"358",1909,59306,54775,92.4,2886,4.9,699,1.2,946,1.6,"Den Bosch"
"359",1848,20696,10708,51.7,8593,41.5,1220,5.9,175,0.8,"Heusden"
"360",1850,22449,912,4.1,18783,83.7,1983,8.8,771,3.4,"Zuidhorn"
"361",1858,23449,1130,4.8,18557,79.1,2865,12.2,897,3.8,"Zuidhorn"
"362",1864,24524,1399,5.7,17889,72.9,4385,17.9,851,3.5,"Zuidhorn"
"363",1869,22453,1407,6.3,16551,73.7,3683,16.4,812,3.6,"Zuidhorn"
"364",1878,23968,831,3.5,16989,70.9,5272,22,876,3.7,"Zuidhorn"
"365",1888,42568,1368,3.2,25119,59,13695,32.2,2386,5.6,"Zuidhorn"
"366",1897,43272,1422,3.3,24412,56.4,15459,35.7,1979,4.6,"Zuidhorn"
"367",1909,46505,2407,5.2,24866,53.5,16469,35.4,2763,5.9,"Zuidhorn"
"368",1850,22176,1699,7.7,18900,85.2,376,1.7,1201,5.4,"Steenwijk"
"369",1858,21421,1738,8.1,17839,83.3,578,2.7,1266,5.9,"Steenwijk"
"370",1864,22558,1772,7.9,18655,82.7,976,4.3,1155,5.1,"Steenwijk"
"371",1869,22276,1198,5.4,18529,83.2,1400,6.3,1149,5.2,"Steenwijk"
"372",1878,23042,1445,6.3,18783,81.5,1627,7.1,1187,5.2,"Steenwijk"
"373",1888,41916,2089,5,30067,71.7,6673,15.9,3087,7.4,"Steenwijk"
"374",1897,41430,2191,5.3,29876,72.1,6697,16.2,2666,6.4,"Steenwijk"
"375",1909,43011,2262,5.3,29984,69.7,7027,16.3,3738,8.7,"Steenwijk"
"376",1850,22458,7548,33.6,14107,62.8,426,1.9,377,1.7,"Tiel"
"377",1858,22659,3780,16.7,18255,80.6,130,0.6,494,2.2,"Tiel"
"378",1864,24571,4067,16.6,19836,80.7,144,0.6,524,2.1,"Tiel"
"379",1869,45954,12938,28.2,31891,69.4,376,0.8,749,1.6,"Tiel"
"380",1878,46278,9840,21.3,35188,76,463,1,787,1.7,"Tiel"
"381",1888,43735,5950,13.6,36163,82.7,922,2.1,700,1.6,"Tiel"
"382",1897,46353,5776,12.5,38703,83.5,1181,2.5,693,1.5,"Tiel"
"383",1909,48331,5889,12.2,39798,82.3,1446,3,1198,2.5,"Tiel"
"384",1878,24417,9262,37.9,13636,55.8,419,1.7,1100,4.5,"Hilversum"
"385",1888,47587,17484,36.7,24194,50.8,2981,6.3,2928,6.2,"Hilversum"
"386",1897,62239,20682,33.2,32100,51.6,4270,6.9,5187,8.3,"Hilversum"
"387",1909,88360,27371,31,40046,45.3,8456,9.6,12487,14.1,"Hilversum"
"388",1850,102664,22043,21.5,48834,47.6,261,0.3,31526,30.7,"Amsterdam"
"389",1858,117339,25926,22.1,57601,49.1,467,0.4,33345,28.4,"Amsterdam"
"390",1864,128036,28584,22.3,62383,48.7,1025,0.8,36044,28.2,"Amsterdam"
"391",1869,122061,26223,21.5,59345,48.6,852,0.7,35641,29.2,"Amsterdam"
"392",1878,156877,35398,22.6,76152,48.5,1301,0.8,44026,28.1,"Amsterdam"
"393",1888,432964,99313,22.9,174139,40.2,35244,8.1,124268,28.7,"Amsterdam"
"394",1869,21466,9031,42.1,10500,48.9,660,3.1,1275,5.9,"Haarlemmermeer"
"395",1878,25800,11190,43.4,12788,49.6,671,2.6,1151,4.5,"Haarlemmermeer"
"396",1888,46402,19299,41.6,20025,43.2,4478,9.7,4923,10.6,"Haarlemmermeer"
"397",1897,57876,24584,42.5,22652,39.1,7268,12.6,3372,5.8,"Haarlemmermeer"
"398",1909,70914,29777,42,25889,36.5,9060,12.8,6188,8.7,"Haarlemmermeer"
"399",1850,40700,12001,29.5,23045,56.6,146,0.4,5508,13.5,"Rotterdam"
"400",1858,63157,19463,30.8,36627,58,432,0.7,6635,10.5,"Rotterdam"
"401",1864,72447,21968,30.3,40910,56.5,2330,3.2,7239,10,"Rotterdam"
"402",1869,61711,17747,28.8,35018,56.7,2064,3.3,6882,11.2,"Rotterdam"
"403",1878,90762,27572,30.4,52886,58.3,1290,1.4,9014,9.9,"Rotterdam"
"404",1888,231552,62176,26.9,128996,55.7,17280,7.5,23100,10,"Rotterdam"
"405",1850,40893,14279,34.9,22464,54.9,160,0.4,3990,9.8,"Den Haag"
"406",1858,40995,13852,33.8,22879,55.8,223,0.5,4041,9.9,"Den Haag"
"407",1864,46686,15982,34.2,25827,55.3,406,0.9,4471,9.6,"Den Haag"
"408",1869,43359,13857,32,24744,57.1,356,0.8,4402,10.2,"Den Haag"
"409",1878,51861,16124,31.1,30090,58,451,0.9,5196,10,"Den Haag"
"410",1888,156809,48365,30.8,85807,54.7,5704,3.6,16933,10.8,"Den Haag"
"411",1850,23079,22372,96.9,551,2.4,1,0,155,0.7,"Boxmeer"
"412",1858,22065,21736,98.5,227,1,0,0,102,0.5,"Boxmeer"
"413",1864,22528,22222,98.6,216,1,0,0,90,0.4,"Boxmeer"
"414",1869,43577,42685,98,631,1.4,0,0,261,0.6,"Boxmeer"
"415",1878,44783,43391,96.9,1136,2.5,5,0,251,0.6,"Boxmeer"
"416",1888,44066,4904,11.1,29473,66.9,5618,12.7,4071,9.2,"Veendam"
"417",1897,50263,5294,10.5,32638,64.9,6460,12.9,5871,11.7,"Veendam"
"418",1909,58045,5826,10,35909,61.9,7660,13.2,8650,14.9,"Veendam"
"419",1888,47298,5322,11.3,34700,73.4,5903,12.5,1373,2.9,"Emmen"
"420",1897,57766,6337,11,41752,72.3,7886,13.7,1791,3.1,"Emmen"
"421",1909,73017,7851,10.8,50791,69.6,10808,14.8,3567,4.9,"Emmen"
"422",1888,42111,5781,13.7,25287,60,6044,14.4,4999,11.9,"Harlingen"
"423",1897,42238,5731,13.6,23741,56.2,7691,18.2,5075,12,"Harlingen"
"424",1909,42732,6012,14.1,20888,48.9,8250,19.3,7582,17.7,"Harlingen"
"425",1888,45522,1441,3.2,26851,59,5600,12.3,11630,25.5,"Schoterland"
"426",1897,46192,1312,2.8,31543,68.3,4688,10.1,8649,18.7,"Schoterland"
"427",1909,49011,1355,2.8,28651,58.5,5874,12,13131,26.8,"Schoterland"
"428",1888,42419,52,0.1,24257,57.2,14595,34.4,3515,8.3,"Bergum"
"429",1888,43265,2794,6.5,30977,71.6,4858,11.2,4636,10.7,"Wolvega"
"430",1888,41666,898,2.2,29992,72,7812,18.7,2964,7.1,"Meppel"
"431",1897,44365,976,2.2,31405,70.8,9049,20.4,2935,6.6,"Meppel"
"432",1909,48815,1178,2.4,33289,68.2,10091,20.7,4257,8.7,"Meppel"
"433",1888,41819,8114,19.4,25876,61.9,7231,17.3,598,1.4,"Ommen"
"434",1897,43609,8098,18.6,26295,60.3,8622,19.8,594,1.4,"Ommen"
"435",1909,50116,9258,18.5,29234,58.3,10086,20.1,1538,3.1,"Ommen"
"436",1888,43278,9886,22.8,31359,72.5,664,1.5,1369,3.2,"Lochem"
"437",1897,44828,10187,22.7,32513,72.5,602,1.3,1526,3.4,"Lochem"
"438",1909,48593,11203,23.1,34531,71.1,1062,2.2,1797,3.7,"Lochem"
"439",1888,44738,29184,65.2,13061,29.2,1723,3.9,770,1.7,"Rheden"
"440",1897,49188,31457,64,15265,31,1729,3.5,737,1.5,"Rheden"
"441",1909,55656,35070,63,16947,30.4,2230,4,1409,2.5,"Rheden"
"442",1888,43218,28320,65.5,13780,31.9,830,1.9,288,0.7,"Druten"
"443",1897,44893,29062,64.7,14001,31.2,995,2.2,835,1.9,"Druten"
"444",1909,46912,30486,65,14778,31.5,1294,2.8,354,0.8,"Druten"
"445",1888,44024,18491,42,21903,49.8,2720,6.2,910,2.1,"Wijk bij Duurstede"
"446",1897,48259,20268,42,24081,49.9,2881,6,1029,2.1,"Wijk bij Duurstede"
"447",1909,51907,21393,41.2,25627,49.4,3567,6.9,1320,2.5,"Wijk bij Duurstede"
"448",1888,44978,1761,3.9,35756,79.5,6808,15.1,653,1.5,"Ede"
"449",1897,49828,1722,3.5,39435,79.1,8038,16.1,633,1.3,"Ede"
"450",1909,57051,1928,3.4,43466,76.2,9643,16.9,2014,3.5,"Ede"
"451",1888,45378,4303,9.5,35377,78,4582,10.1,1116,2.5,"Apeldoorn"
"452",1897,54282,4735,8.7,42185,77.7,5728,10.6,1634,3,"Apeldoorn"
"453",1909,68208,5632,8.3,49655,72.8,8125,11.9,4796,7,"Apeldoorn"
"454",1888,44738,17959,40.1,21123,47.2,4900,11,756,1.7,"Breukelen"
"455",1897,43956,16898,38.4,20717,47.1,5541,12.6,800,1.8,"Breukelen"
"456",1909,45748,17665,38.6,21087,46.1,6095,13.3,901,2,"Breukelen"
"457",1888,42625,16000,37.5,20986,49.2,4027,9.4,1612,3.8,"Enkhuizen"
"458",1897,43690,16850,38.6,20302,46.5,4568,10.5,1970,4.5,"Enkhuizen"
"459",1909,46534,18868,40.5,20062,43.1,4942,10.6,2662,5.7,"Enkhuizen"
"460",1888,43483,7653,17.6,27564,63.4,3255,7.5,5011,11.5,"Den Helder"
"461",1897,46921,8122,17.3,29486,62.8,3247,6.9,6066,12.9,"Den Helder"
"462",1909,49904,8869,17.8,29368,58.8,3483,7,8184,16.4,"Den Helder"
"463",1888,45363,20287,44.7,19474,42.9,1006,2.2,4596,10.1,"Beverwijk"
"464",1897,54014,23487,43.5,22619,41.9,1779,3.3,6129,11.3,"Beverwijk"
"465",1909,78739,32663,41.5,29120,37,4347,5.5,12609,16,"Beverwijk"
"466",1888,46041,17936,39,20960,45.5,6110,13.3,1035,2.2,"Katwijk"
"467",1897,46136,18270,39.6,19982,43.3,7145,15.5,739,1.6,"Katwijk"
"468",1909,57437,22098,38.5,23934,41.7,9615,16.7,1790,3.1,"Katwijk"
"469",1888,39294,9525,24.2,22982,58.5,5500,14,1287,3.3,"Bodegraven"
"470",1897,41425,9735,23.5,24290,58.6,6079,14.7,1321,3.2,"Bodegraven"
"471",1909,45280,10692,23.6,25894,57.2,6951,15.4,1743,3.8,"Bodegraven"
"472",1888,44115,15989,36.2,19321,43.8,8120,18.4,685,1.6,"Loosduinen"
"473",1897,50728,17475,34.4,22235,43.8,10086,19.9,932,1.8,"Loosduinen"
"474",1909,63093,20861,33.1,27919,44.3,12039,19.1,2274,3.6,"Loosduinen"
"475",1888,44034,2061,4.7,36161,82.1,5147,11.7,665,1.5,"Sliedrecht"
"476",1897,46621,1846,4,38311,82.2,5823,12.5,641,1.4,"Sliedrecht"
"477",1909,50567,1903,3.8,41266,81.6,6511,12.9,887,1.8,"Sliedrecht"
"478",1888,43293,15115,34.9,24336,56.2,2924,6.8,918,2.1,"Oostburg"
"479",1897,47509,16393,34.5,26306,55.4,3968,8.4,842,1.8,"Oostburg"
"480",1909,50708,17647,34.8,25820,50.9,4847,9.6,2394,4.7,"Oostburg"
"481",1888,43041,24984,58,14021,32.6,3119,7.2,917,2.1,"Hontenisse"
"482",1897,46004,26465,57.5,14645,31.8,3288,7.1,1606,3.5,"Hontenisse"
"483",1909,49555,28994,58.5,14320,28.9,2917,5.9,3324,6.7,"Hontenisse"
"484",1888,43366,39857,91.9,2850,6.6,466,1.1,193,0.4,"Oosterhout"
"485",1897,48742,44546,91.4,3419,7,471,1,306,0.6,"Oosterhout"
"486",1909,55995,51081,91.2,3481,6.2,769,1.4,664,1.2,"Oosterhout"
"487",1888,44525,31085,69.8,10160,22.8,2950,6.6,330,0.7,"Waalwijk"
"488",1897,44954,32111,71.4,9878,22,2570,5.7,395,0.9,"Waalwijk"
"489",1909,46598,33118,71.1,10003,21.5,3161,6.8,316,0.7,"Waalwijk"
"490",1888,43350,42853,98.9,257,0.6,9,0,231,0.5,"Gulpen"
"491",1897,49981,49347,98.7,320,0.6,8,0,306,0.6,"Gulpen"
"492",1909,65456,63180,96.5,706,1.1,222,0.3,1348,2.1,"Gulpen"
"493",1888,43270,43116,99.6,85,0.2,3,0,66,0.2,"Weert"
"494",1897,46661,46374,99.4,219,0.5,31,0.1,37,0.1,"Weert"
"495",1909,52929,52557,99.3,248,0.5,54,0.1,70,0.1,"Weert"
"496",1888,43787,43199,98.7,375,0.9,2,0,211,0.5,"Veghel"
"497",1897,43753,43259,98.9,332,0.8,2,0,160,0.4,"Veghel"
"498",1909,46095,45736,99.2,230,0.5,6,0,123,0.3,"Veghel"
"499",1897,37562,1938,5.2,26474,70.5,7141,19,2009,5.3,"Hoogezand"
"500",1909,40891,1763,4.3,26416,64.6,8244,20.2,4468,10.9,"Hoogezand"
"501",1897,44324,35,0.1,23712,53.5,17119,38.6,3458,7.8,"Tietjerksteradeel"
"502",1909,48150,17,0,23821,49.5,18675,38.8,5637,11.7,"Tietjerksteradeel"
"503",1897,43579,2416,5.5,32355,74.2,5267,12.1,3541,8.1,"Weststellingwerf"
"504",1909,47265,2380,5,31870,67.4,6510,13.8,6505,13.8,"Weststellingwerf"
